,number,l_p_l_lo_x,l_p_l_lo_y,l_p_l_re_x,l_p_l_re_y,l_p_r_lo_x,l_p_r_lo_y,l_p_r_re_x,l_p_r_re_y,l_h_l_x,l_h_l_y,l_h_r_x,l_h_r_y,r_p_l_lo_x,r_p_l_lo_y,r_p_l_re_x,r_p_l_re_y,r_p_r_lo_x,r_p_r_lo_y,r_p_r_re_x,r_p_r_re_y,r_h_l_x,r_h_l_y,r_h_r_x,r_h_r_y,3d_p_x,3d_p_y,3d_p_z,3d_h_l_x,3d_h_l_y,3d_h_l_z,3d_h_r_x,3d_h_r_y,3d_h_r_z
0,1754,1320.19,376.02,1320.19,376.02,1339.85,374.88,1339.85,374.88,314.17,676.23,2111.53,543.47,1357.08,434.51,1357.08,434.51,1379.28,435.32,1379.28,435.32,302.52,616.54,2196.74,708.76,629.39,4190.4,3481.26,-248.7,4479.18,3413.62,1277.29,4305.36,3254.78
0,1755,1322.86,375.31,1322.86,375.31,1333.83,379.43,1333.83,379.43,314.66,674.55,2111.53,544.09,1358.57,434.35,1358.57,434.35,1382.22,435.62,1382.22,435.62,301.93,615.7,2196.5,708.88,632.87,4191.7,3493.68,-248.87,4477.73,3410.63,1276.94,4305.9,3254.18
0,1756,1326.6,371.85,1325.8,374.75,1344.47,370.51,1345.68,373.43,314.38,673.92,2112.06,543.96,1360.35,434.03,1360.35,434.03,1385.28,436.13,1385.28,436.13,301.49,615.13,2196.35,709.12,632.73,4189.09,3476.18,-249.18,4477.22,3410.16,1276.17,4305.78,3252.15
0,1757,1327.54,374.19,1328.66,374.16,1345.26,373.07,1348.24,373.48,314.66,672.55,2111.88,544.31,1369.37,472.52,1367.27,474.65,1386.34,473.2,1386.34,473.2,301.14,614.06,2196.32,709.02,636.53,4188.59,3479.22,-249.3,4476.06,3408.4,1276.32,4306.09,3252.64
0,1758,1331.25,373.65,1331.25,373.65,1350.61,373.23,1350.61,373.23,313.52,670.35,2110.81,542.84,1372.29,474.27,1372.29,474.27,1389.25,475.02,1389.25,475.02,300.58,612.73,2196.73,708.93,640.4,4187.96,3482.96,-250.03,4474.43,3409.94,1277.94,4304.83,3256.97
0,1759,1333.75,374.08,1333.75,374.08,1353.48,373.06,1353.48,373.06,313.31,669.44,2111.31,543.11,1374.0,474.0,1374.0,474.0,1391.0,475.0,1391.0,475.0,300.09,612.09,2196.83,708.91,641.44,4188.08,3479.2,-250.36,4473.68,3409.1,1277.64,4305.05,3255.7
0,1760,1337.07,373.47,1337.07,373.47,1356.89,372.22,1356.89,372.22,313.97,669.84,2112.17,543.99,1376.0,474.0,1376.0,474.0,1394.0,475.0,1394.0,475.0,300.84,611.94,2196.4,709.53,643.12,4187.41,3475.49,-249.79,4474.0,3409.44,1276.13,4305.81,3251.91
0,1761,1339.31,373.2,1339.31,373.2,1359.7,371.59,1359.7,371.59,313.87,669.17,2111.75,544.43,1378.0,474.0,1378.0,474.0,1396.0,475.0,1396.0,475.0,301.05,611.95,2196.25,709.77,644.54,4186.97,3473.11,-249.76,4473.52,3410.34,1276.33,4306.2,3252.84
0,1762,1341.78,373.88,1341.78,373.88,1362.2,372.17,1362.2,372.17,314.26,668.65,2112.59,544.8,1381.0,474.0,1381.0,474.0,1400.0,475.0,1400.0,475.0,300.8,611.96,2196.42,709.98,647.87,4187.31,3475.4,-249.76,4473.03,3408.57,1275.79,4306.49,3250.68
0,1763,1344.57,373.71,1344.57,373.71,1365.18,371.78,1365.18,371.78,313.76,669.57,2113.02,544.96,1383.0,474.0,1383.0,474.0,1402.0,475.0,1402.0,475.0,301.35,611.65,2196.42,710.14,649.14,4187.05,3471.78,-249.66,4473.88,3411.46,1275.38,4306.62,3249.35
0,1764,1347.53,373.36,1347.53,373.36,1368.02,372.02,1368.02,372.02,314.23,668.71,2113.61,545.13,1384.5,473.5,1384.5,473.5,1402.0,475.0,1402.0,475.0,301.24,611.74,2196.56,710.2,648.86,4187.14,3464.36,-249.58,4473.13,3409.9,1275.04,4306.76,3247.89
